Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0,1.99230769230769e-06,-8.97692307692307e-06,-4.81538461538462e-06,-5.24615384615385e-06,-5.95384615384614e-06,-7.50000000000001e-06,-1.05284615384615e-05,-1.40823076923077e-05,-2.53576923076923e-05,-2.35261538461538e-05,-1.37205384615385e-05,-1.50848461538462e-05,-1.50730769230769e-05,-8.19769230769231e-06,1.91185714285714e-05
0.01,2e-06,-8.98461538461539e-06,-4.81538461538462e-06,-5.24615384615385e-06,-5.95384615384614e-06,-7.50000000000001e-06,-1.05276923076923e-05,-1.40823076923077e-05,-2.53576923076923e-05,-2.35261538461538e-05,-1.37205384615385e-05,-1.50848461538462e-05,-1.50730769230769e-05,-8.19769230769231e-06,1.91182142857143e-05
0.02,2e-06,-8.98461538461539e-06,-4.80769230769231e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05307692307692e-05,-1.40823076923077e-05,-2.53584615384615e-05,-2.35261538461538e-05,-1.372e-05,-1.50846153846154e-05,-1.50730769230769e-05,-8.19846153846153e-06,1.91164285714286e-05
0.03,2e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.4923076923077e-06,-1.05338461538461e-05,-1.40823076923077e-05,-2.53576923076923e-05,-2.35269230769231e-05,-1.37198461538462e-05,-1.50847692307692e-05,-1.50730769230769e-05,-8.2e-06,1.91114285714286e-05
0.04,2e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05261538461538e-05,-1.40823076923077e-05,-2.53584615384615e-05,-2.35261538461538e-05,-1.37203076923077e-05,-1.50843076923077e-05,-1.50738461538462e-05,-8.20538461538462e-06,1.91035714285714e-05
0.05,2e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49230769230768e-06,-1.05330769230769e-05,-1.40830769230769e-05,-2.53576923076923e-05,-2.35261538461538e-05,-1.37206153846154e-05,-1.50847692307692e-05,-1.50746153846154e-05,-8.21769230769231e-06,1.90953571428571e-05
0.06,2e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.4923076923077e-06,-1.05330769230769e-05,-1.40830769230769e-05,-2.53576923076923e-05,-2.35261538461538e-05,-1.37206923076923e-05,-1.50839230769231e-05,-1.50776923076923e-05,-8.23923076923077e-06,1.90885714285714e-05
0.07,2e-06,-8.98461538461537e-06,-4.80769230769231e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05315384615385e-05,-1.40830769230769e-05,-2.53576923076923e-05,-2.35261538461538e-05,-1.37213076923077e-05,-1.50840769230769e-05,-1.50846153846154e-05,-8.26846153846154e-06,1.90835714285714e-05
0.08,2e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05276923076923e-05,-1.40830769230769e-05,-2.53576923076923e-05,-2.35261538461538e-05,-1.37210769230769e-05,-1.50835384615385e-05,-1.50969230769231e-05,-8.30692307692307e-06,1.908e-05
0.09,2e-06,-8.98461538461539e-06,-4.81538461538461e-06,-5.24615384615385e-06,-5.95384615384616e-06,-7.49999999999999e-06,-1.05269230769231e-05,-1.40838461538462e-05,-2.53569230769231e-05,-2.35261538461538e-05,-1.37214615384615e-05,-1.50839230769231e-05,-1.51176923076923e-05,-8.34923076923077e-06,1.90771428571429e-05
