Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0,-8.2769230769231e-06,-2.36615384615385e-05,-1.91307692307692e-05,-1.89461538461539e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65292307692308e-05,-1.45869230769231e-05,-2.22715384615385e-05,-2.06607692307692e-05,-1.26130769230769e-05,-1.43546153846154e-05,-1.46546153846154e-05,-8.53384615384616e-06,1.78128571428571e-05
0.01,-8.2769230769231e-06,-2.36615384615385e-05,-1.91307692307692e-05,-1.89461538461539e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65284615384615e-05,-1.45869230769231e-05,-2.22715384615385e-05,-2.06607692307692e-05,-1.26131538461538e-05,-1.43545384615385e-05,-1.46546153846154e-05,-8.53384615384615e-06,1.78125e-05
0.02,-8.27692307692306e-06,-2.36615384615385e-05,-1.91307692307692e-05,-1.89538461538461e-05,-1.89076923076923e-05,-1.84307692307692e-05,-1.65323076923077e-05,-1.45861538461538e-05,-2.22715384615385e-05,-2.06607692307692e-05,-1.26133076923077e-05,-1.43543846153846e-05,-1.46546153846154e-05,-8.53461538461538e-06,1.78107142857143e-05
0.03,-8.27692307692306e-06,-2.36538461538462e-05,-1.91384615384615e-05,-1.89461538461539e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65269230769231e-05,-1.45869230769231e-05,-2.22715384615385e-05,-2.06607692307692e-05,-1.26132307692308e-05,-1.43544615384615e-05,-1.46546153846154e-05,-8.53692307692308e-06,1.78060714285714e-05
0.04,-8.2769230769231e-06,-2.36538461538462e-05,-1.91384615384615e-05,-1.89461538461538e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65276923076923e-05,-1.45861538461538e-05,-2.22715384615385e-05,-2.06607692307692e-05,-1.26136923076923e-05,-1.43547692307692e-05,-1.46546153846154e-05,-8.54307692307692e-06,1.77985714285714e-05
0.05,-8.28461538461536e-06,-2.36538461538462e-05,-1.91384615384616e-05,-1.89461538461538e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65269230769231e-05,-1.45869230769231e-05,-2.22715384615385e-05,-2.06607692307692e-05,-1.26132384615385e-05,-1.43544538461538e-05,-1.46561538461538e-05,-8.55615384615384e-06,1.77907142857143e-05
0.06,-8.28461538461539e-06,-2.36538461538461e-05,-1.91384615384616e-05,-1.89461538461539e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65269230769231e-05,-1.45869230769231e-05,-2.22707692307692e-05,-2.06607692307692e-05,-1.26141076923077e-05,-1.43543538461538e-05,-1.46592307692308e-05,-8.57769230769231e-06,1.77842857142857e-05
0.07,-8.27692307692306e-06,-2.36615384615385e-05,-1.91307692307692e-05,-1.89538461538461e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65261538461538e-05,-1.45869230769231e-05,-2.22707692307692e-05,-2.06607692307692e-05,-1.26140615384615e-05,-1.43544e-05,-1.46661538461538e-05,-8.60769230769231e-06,1.77796428571429e-05
0.08,-8.28461538461536e-06,-2.36538461538462e-05,-1.91384615384616e-05,-1.89461538461538e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65292307692308e-05,-1.45869230769231e-05,-2.22715384615385e-05,-2.066e-05,-1.26147384615385e-05,-1.43552615384615e-05,-1.46776923076923e-05,-8.64538461538462e-06,1.77760714285714e-05
0.09,-8.2769230769231e-06,-2.36615384615385e-05,-1.91384615384615e-05,-1.89461538461539e-05,-1.89076923076923e-05,-1.84384615384615e-05,-1.65292307692308e-05,-1.45869230769231e-05,-2.22707692307692e-05,-2.06607692307692e-05,-1.26146615384615e-05,-1.43568769230769e-05,-1.46969230769231e-05,-8.6876923076923e-06,1.77732142857143e-05
